periodo,long,lat,expediente,calle,calle_nro,seccion,manzana,parcela,fecha_inicio_obra,estado,ultimo_avo_solicitado,fecha_ultimo_avo,estado_tramite,profesional,metros_a_construir,fecha_estado_tramite,tipo_obra,destino,barrio,comuna,codigo_postal,codigo_postal_argentino
202002,-58.516199,-34.619493,28130462/2017,BAIGORRIA,5241,87,006A,022A,,Normal,Demolición,2018-10-12,En demolición,SOTTOCORNO CLAUDIO ALBERTO,1657.35,2018-12-11,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 11,1417,Villa Devoto,C1417FSY
202002,-58.504289,-34.593996000000004,,SAN MARTIN AV.,6337,83,218 ,005C,,Normal,Sin inicio,,Pedido de excavación menor a 4 mts autorizado,MURO JOSE ENRIQUE,1830.87,2019-12-06,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 11,1419,Villa Devoto,C1419ICA
202002,-58.465015,-34.619838,,CARACAS,867,65,106,004,,Normal,Demolición,2019-12-20,En demolición,PELUSO HECTOR JORGE,701.77,2019-12-30,DEMOLICIÓN TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 7,1406,Flores,C1406AZO
202002,-58.458505,-34.630790999999995,13895477/2017,"BONORINO, ESTEBAN, Cnel. AV.",242,48,133 ,006F,,Normal,Demolición final,2017-09-28,Obra finalizada,DEL GAISO JUAN ANTONIO,,2017-10-02,DEMOLICION TOTAL,,Comuna 7,1406,Flores,C1406DMF
202002,-58.41887,-34.604504,29651513/2017,"GOMEZ, VALENTIN",3850,17,104 ,006 ,2018-12-20,Normal,En AVO 1,2019-02-08,En AVO 1,TARNOFSKY TOMAS,1204.87,2019-08-12,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 5,1191,Almagro,C1191AAV
202002,-58.408841,-34.599757000000004,12298059/2017,"ANCHORENA, TOMAS MANUEL DE, DR.",778,13,063 ,051 ,2017-11-17,Normal,Excavacion < 4 mts,2017-06-10,Excavación <= -4m,BAGDADI ALBERTO,402.52,2017-11-30,DEMOLICION TOTAL Y OBRA NUEVA,OTROS,Comuna 3,1170,Balvanera,C1170ACN
202002,,,29464780/2018,CALLE A CEDER,4180,68,124A,003,,Normal,En AVO 1,2019-07-23,Pedido de AVO 3 autorizado,GALLICCHIO FRANCISCO CARMELO,3166.10,2020-02-03,OBRA NUEVA,,,,,
202002,-58.394601,-34.614796000000005,11534310/2014,SARANDI,464,20,062 ,028 ,,Normal,En AVO 3,2018-01-17,En AVO 3,CATARINEU RICARDO RAMON,973.73,2017-11-22,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 3,1081,Balvanera,C1081ACJ
202002,-58.46582900000001,-34.578057,24908846/2015,ZARRAGA,3864,49,107,007,,Normal,En AVO 1,2017-09-01,En AVO 1,DIANI CLAUDIO FABIÁN,1066.00,2017-10-13,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 15,1427,Villa Ortuzar,C1427CGH
202002,-58.462993999999995,-34.56813,19998259/2018,"FREIRE, RAMON, CAP. GRAL.",1901,39,047A,000,,Normal,En AVO 4,,En AVO 4,BONGIOVI ALFREDO ANTONIO,100.00,2019-01-16,AMPLIACION Y MODIFICACION C/DEMOLICION PARCIAL,OTROS,Comuna 13,1428,Belgrano,C1428CYC
202002,-58.507539,-34.591718,26622917/2017,LLAVALLOL,4513,83,222 ,020 ,2018-10-23,Normal,En AVO 1,2019-01-15,Pedido de AVO 2 observado,SUAREZ JULIAN ALBERTO,776.61,2019-06-19,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 11,1419,Villa Devoto,C1419AKK
202002,-58.48673,-34.561537,15694803/2017,"ACHA, MARIANO, Gral.",3458,53,070 ,036A,,Normal,En AVO 2,2017-07-17,Pedido de AVO 3 autorizado,FONDEVILA SALCEDO HORACIO AGUSTIN,2919.00,2019-08-30,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 12,1430,Villa Urquiza,C1430DVR
202002,-58.449616000000006,-34.570101,7262563/17,CESPEDES,2563,37,142 ,014 ,2017-10-07,Normal,En AVO 2,2018-06-19,Pedido de AVO 3 autorizado,CRISTOFARO VICTOR HUGO,1149.00,2019-12-23,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR Y ESPACIO GUARDACOCHES,Comuna 13,1426,Colegiales,C1426DUI
202002,-58.391473,-34.641989,14076990/2015,LAFAYETTE,575,26,039,000E,,Normal,En AVO 3,,En AVO 3,FAMA FABIÁN ERNESTO,24144.00,2019-03-08,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 4,1284,Parque Patricios,C1284ADA
202002,-58.516162,-34.645524,,MURGUIONDO,646,72,126,024,2019-09-18,Normal,En AVO 2,2020-02-01,En AVO 2,FERNANDEZ GABRIEL MARTÍN,96.00,2020-01-09,,VIVIENDA MULTIFAMILIAR,Comuna 9,1408,Liniers,C1408GYN
202002,-58.443757999999995,-34.593045000000004,17776459/2014,DARWIN,771,31,011,002,,Clausurada,Obra finalizada,2016-07-18,Obra finalizada,VARELA PATRICIA ADRIANA,512.93,2018-11-13,OBRA NUEVA,OTROS,Comuna 15,1414,Villa Crespo,C1414CUO
202002,-58.515403000000006,-34.608,17385043/2014,"BEIRO, FRANCISCO AV.",4591,89,095 ,011B,,Clausura parcial,Obra finalizada,2017-10-13,Obra finalizada,PEREZ JUAN RODOLFO,1175.91,2017-10-17,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 11,1419,Villa Devoto,C1419HZH
202002,-58.479451,-34.613729,15685446/2017,NAZCA AV.,1769,67,044,012,2019-11-09,Normal,Sin inicio,,Pedido de excavación menor a 4 mts observado,LOPES FABIAN OSVALDO,2202.00,2019-09-11,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 11,1416,Villa Santa Rita,C1416ASG
202002,-58.497232,-34.574721999999994,30136933/2017,"LE BRETON, TOMAS A.",5763,63,034,023C,,Normal,Demolición final,2019-03-01,En demolición final,ROMANO CARLOS RAUL,1226.00,2019-01-04,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 12,1431,Villa Urquiza,C1431BQM
202002,-58.458814000000004,-34.560511,,OLAZABAL,2450,39,099,004,,Normal,Demolición final,2019-08-26,En demolición final,ZAS JAVIER HERNAN,4181.00,2019-08-27,DEMOLICION TOTAL Y OBRA NUEVA,OTROS,Comuna 13,1428,Belgrano,C1428DHT
202002,-58.460492,-34.637836,24514343/2016,VARELA AV.,719,48,087 ,035 ,,Normal,,,Alta de obra iniciada,BURGOS ROSSI FACUNDO EZEQUIEL,,2017-11-14,,OTROS,Comuna 7,1406,Flores,C1406EKO
202002,-58.462419999999995,-34.563981,,MENDOZA,2929,39,064 ,013C,,Normal,Demolición final,2019-09-23,En demolición final,ZATLOUKAL JORGE EDUARDO,36.70,2019-09-24,DEMOLICION TOTAL Y OBRA NUEVA,OTROS,Comuna 13,1428,Belgrano,C1428DKY
202002,,,,CALLE A CEDER,4741,66,114,001,,Normal,En AVO 2,2019-08-23,En AVO 2, BALSEIRO JAVIER FERNANDO,3261.46,2019-08-27,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,,,,
202002,-58.476712,-34.555343,23719993/2017,NUÑEZ,3464,41,056,006,2018-03-23,Normal,Obra finalizada con AVO 4,2019-09-25,Obra finalizada,MOSSAYEBEH GUILLERMO ADRIAN,596.00,2019-09-04,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 12,1430,Coghlan,C1430AMB
202002,,,06500048/2018,CALLE SIN NOMBRE OFICIAL,1141,98,063D,003,,Normal,Obra finalizada con AVO 4,2019-12-11,Obra finalizada,TARASIDO JUAN PABLO,1402.28,2019-10-11,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,,,,
202002,-58.448755000000006,-34.637544,8510934/2018,DAVILA,1151,44,097B,007A,2019-03-25,Normal,En AVO 2,2019-12-13,En AVO 2, LORENZO PABLO SEBAST IAN,1428.29,2019-12-16,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 7,1406,Parque Chacabuco,C1406DEK
202002,-58.513695999999996,-34.656401,,ZELADA,7089,74,050,031,,Normal,Demolición final,2019-12-16,Pedido de demolición final autorizado,PISA CARLOS ALBERTO,523.54,2020-01-21,DEMOLICIÓN TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 9,1440,Mataderos,C1440BXM
202002,-58.478579,-34.618421000000005,20562854/2016,TRES ARROYOS,3043,67,017A,023 ,,Paralizada por desvinculación,Demolición,2017-07-03,En demolición,BUERES ISIDRO JUAN,30.00,2018-09-12,DEMOLICIÓN TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 11,1416,Villa Santa Rita,C1416DDY
202002,-58.518364,-34.611659,,QUEVEDO,3392,87,055,001,,Normal,Demolición final,2019-04-12,En demolición final,SINTES VICENTE,1179.00,2019-12-05,,VIVIENDA MULTIFAMILIAR,Comuna 11,1417,Villa Devoto,C1417BVD
202002,-58.435537,-34.589317,14688957/2018,"VEGA, NICETO, Cnel.",5233,31,116,019,2019-07-26,Normal,Demolición final,2019-11-14,En demolición final,SMUD CARLOS ALBERTO,499.96,2019-11-15,AMPLIACION Y MODIFICACION C/DEMOLICION PARCIAL,OTROS,Comuna 14,1414,Palermo,C1414BEM
202002,-58.406248,-34.620168,35470878/2018,DEAN FUNES,870,30,086,018B,,Normal,Demolición final,2019-08-23,Obra finalizada,PEREZ ALEJANDRO ARIEL,227.00,2019-08-30,DEMOLICION TOTAL,VIVIENDA MULTIFAMILIAR,Comuna 3,1231,San Cristobal,C1231ABH
202002,-58.427032,-34.584024,28639806/2017,URIARTE,2106,19,122,010,2018-07-26,Normal,En AVO 2,2019-10-16,En AVO 2,BIANCHEDI ADRIANA MARCELA,1878.75,2019-10-22,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 14,1425,Palermo,C1425FND
202002,-58.511706999999994,-34.643921999999996,,LARRAZABAL AV.,461,72,142 ,003 ,,Normal,Demolición final,2019-08-22,En demolición final,ANTOLICHE ALBERTO RAUL,2054.00,2019-08-27,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 9,1408,Liniers,C1408HED
202002,-58.50402,-34.615221000000005,17307610/2014,"LYNCH ARRIBALZAGA, FELIX",4456,81,003A,012 ,,Normal,En AVO 4,2018-09-08,Obra finalizada,WAINSTEIN RUBEN ALEJANDRO,849.76,2017-10-11,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 10,1417,Monte Castro,C1417GLB
202002,-58.48830699999999,-34.611005,,"DANTAS, JULIO S.",3264,79,144 ,006 ,,Normal,En AVO 2,2019-09-27,En AVO 2,GARCIA MONSONIS LUIS OMAR,628.39,2019-09-30,AMPLIACION Y MODIFICACION C/DEMOLICION PARCIAL,VIVIENDA MULTIFAMILIAR,Comuna 11,1416,Villa Santa Rita,C1416EVB
202002,-58.457483999999994,-34.625377,11344005/2019,BOYACA AV.,125,57,002A,016,2019-06-20,Normal,Demolición finalizada,2019-08-11,Obra finalizada,VIVACQUA RICARDO,,2019-11-12,DEMOLICION TOTAL,OTROS,Comuna 7,1406,Flores,C1406BHA
202002,-58.43348,-34.594547999999996,22190064/2018,Jufre,528,31,065,003,2019-06-25,Normal,En AVO 1,2019-02-10,En AVO 1,FERRETTI LEONARDO JOSE,491.00,2019-10-02,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 15,1414,Villa Crespo,C1414AYL
202002,-58.509873,-34.607191,18765037/2016,SANABRIA,3202,81,012 ,001 ,2017-02-17,Normal,En AVO 4,2019-03-01,Obra finalizada,ERRIQUENZ JUAN PABLO ANTONIO,2177.56,2018-08-22,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 11,1417,Villa Devoto,C1417AZX
202002,-58.420170999999996,-34.638003999999995,,TREINTA Y TRES ORIENTALES,2157,38,162,014,,Normal,Demolición,,Pedido de demolición autorizado,CRIGNA FRANCISCO LUIS,350.00,2019-11-15,AMPLIACIÓN Y MODIFICACIÓN CON DEMOLICIÓN PARCIAL,VIVIENDA MULTIFAMILIAR,Comuna 5,1257,Boedo,C1257ACW
202002,-58.476471999999994,-34.555208,913568/2013,nuñez,3448,41,056 ,003 ,,Normal,En AVO 2,,En AVO 2,BRUKMAN EDUARDO ROBERTO,4958.54,2017-10-25,OBRA NUEVA,OTROS,Comuna 12,1430,Coghlan,C1430AMB
202002,-58.414893000000006,-34.638659999999994,38938908/2016,CASEROS AV.,3515,32,026,049,,Clausura parcial,Obra finalizada,2017-12-06,Obra finalizada,BASIN GUSTAVO DANIEL,3520.00,2017-10-07,MODIFICACION Y/O AMPLIACION,OTROS,Comuna 5,1263,Boedo,C1263AAE
202002,-58.458762,-34.579048,,"LORETO, Virrey",3663,37,021 ,025 ,2019-09-04,Normal,Excavacion > 4 mts al 50%,2019-05-09,Excavación al >= -4m  50%,KARMEL CLAUDIO IGNACIO,1289.41,2019-09-06,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 15,1427,Chacarita,C1427DXA
202002,-58.505632999999996,-34.646908,19608842/2016,PIZARRO,5895,60,020B,012 ,2017-02-10,Normal,Obra finalizada,2018-10-01,Obra finalizada,SILVERO ALEJANDRO PABLO,140.00,2018-01-11,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 9,1440,Liniers,C1440BZM
202002,-58.510637,-34.64075,,MIRALLA,143,60,040,034,,Normal,Sin inicio,,Obra finalizada,PALACIOS ALEJANDDRO ESTEBAN,1228.00,2019-08-22,DEMOLICIÓN TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 9,1408,Liniers,C1408HLC
202002,-58.45951899999999,-34.614936,14805895/2016,FRANKLIN,1744,57,034 ,003 ,,Normal,En AVO 4,2018-08-03,En AVO 4,PUENTE ESTEBAN RICARDO,574.00,2018-03-27,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 7,1406,Flores,C1406FMB
202002,-58.476913,-34.621681,,HELGUERA,910,67,001 ,033 ,2019-04-06,Normal,En AVO 1,2019-11-22,En AVO 1,ABU HAYATAIN SEBASTIAN,2697.72,2019-11-27,DEMOLICION TOTAL Y OBRA NUEVA,OTROS,Comuna 11,1416,Villa Santa Rita,C1416BBB
202002,-58.506319,-34.605748,24261413/2016,CHIVILCOY AV.,3073,81,063 ,011 ,2017-07-04,Normal,En AVO 4,2019-05-06,Obra finalizada,TACHELLA GERMAN ARIEL,774.00,2018-12-05,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 11,1417,Villa Devoto,C1417ATU
202002,-58.404297,-34.600563,33662723/2018,PUEYRREDON AV.,833,9,009,014,2019-07-22,Normal,Excavacion > 4 mts al 50%,2019-09-23,Pedido de AVO 1 autorizado,WOLFF SEBASTIAN PABLO,1330.00,2020-01-31,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 3,1032,Balvanera,C1032ABI
202002,-58.420952,-34.58943,,ARAOZ,1935,19,103,011,,Normal,Demolición finalizada,2020-01-30,Obra finalizada,KIRCHUK MARIO EDUARDO,,2020-02-03,DEMOLICION TOTAL,VIVIENDA INDIVIDUAL,Comuna 14,1425,Palermo,C1425DGA
202002,-58.501235,-34.583374,,CONDARCO,4885,73,048 ,015 ,2019-02-22,Normal,En AVO 1,2019-08-28,En AVO 1,BENITO SERGIO OSCAR,404.23,2019-09-05,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 12,1419,Villa Pueyrredon,C1419DPY
202002,-58.477539,-34.587565000000005,24246367/2016,LLERENA,2876,61,042 ,009 ,2017-10-02,Normal,En AVO 4,2018-10-23,Obra finalizada,GAMBOA ALEJANDRO ARGENTINO,909.39,2018-08-09,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 15,1427,Parque Chas,C1427DEJ
202002,-58.460226,-34.644808000000005,20456923/2017,LAFUENTE AV.,1222,50,082,027E,,Clausurada,,,Alta de obra iniciada,CHOQUE JULIO ROLANDO,235.26,2018-04-10,AMPLIACION Y MODIFICACION C/DEMOLICION PARCIAL,OTROS,Comuna 7,1406,Flores,C1406EUO
202002,-58.440441,-34.603449,,"GANDHI, MAHATMA",276,47,129,002,,Normal,Sin inicio,,Carga finalizada,KOZAK ALEJANDRA ETHEL,1013.57,2020-02-04,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 15,1414,Villa Crespo,C1414EFB
202002,-58.439262,-34.627479,27168066/2016,"BONIFACIO, JOSE",825,40,032 ,030 ,2017-08-25,Normal,En AVO 3,2019-11-07,En AVO 3,SASSON CHATTAS ALBERTO SERGIO,3209.89,2019-07-15,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 6,1424,Caballito,C1424CHQ
202002,-58.497298,-34.648907,19500873/2015,BRAGADO,5330,62,080,003,,Normal,En AVO 4,2018-01-31,Obra finalizada,CIOCALE ALBERTO EDGARDO,803.00,2017-10-07,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 9,1440,Mataderos,C1440ACJ
202002,-58.477588,-34.576097999999995,18025141/2014,ECHEVERRIA,4720,51,069 ,001B,,Normal,,,Alta de obra iniciada,TOZZELLI LEONEL CRISTIAN,,2018-12-11,AMPLIACION Y MODIFICACION C/DEMOLICION PARCIAL,VIVIENDA MULTIFAMILIAR,Comuna 12,1431,Villa Urquiza,C1431CMF
202002,-58.408559999999994,-34.589684999999996,,SANCHEZ DE BUSTAMANTE,1850,15,048 ,008B,2019-09-30,Normal,Excavacion > 4 mts al 10%,2019-10-18,Pedido de excavación al 50% autorizado,CALIFANO EMILIO,2206.87,2019-12-23,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 2,1425,Recoleta,C1425DUL
202002,-58.490134,-34.571259999999995,476727/2017,TRIUNVIRATO AV.,5177,63,116,003,2017-03-31,Normal,Demolición final,2017-02-17,Obra finalizada,ELIAS MATIAS DAMIAN,,2017-04-02,DEMOLICION TOTAL,COMERCIO,Comuna 12,1431,Villa Urquiza,C1431FCE
202002,-58.489084,-34.564714,12684379/2018,"TAMBORINI, JOSE PASCUAL",4893,53,036 ,017 ,2019-11-02,Normal,En AVO 1,2019-06-21,En AVO 1,D´AMICO MARIA GIMENA,513.30,2019-07-11,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 12,1431,Villa Urquiza,C1431AGE
202002,-58.443697,-34.559582,16098470/2018,Migueletes,1720,23,129 ,032 ,2019-01-31,Normal,En AVO 1,2019-08-30,En AVO 1,FERRI ENRIQUE GABRIEL,1708.00,2019-09-05,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 13,1426,Belgrano,C1426BVB
202002,-58.490667,-34.557139,12095052/2016,GARCIA DEL RIO,4685,55,151 ,017 ,2017-12-02,Clausura parcial,En AVO 4,2019-08-27,Obra finalizada,SANCHEZ SEBASTIAN ALEXIS,329.37,2017-10-25,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 12,1430,Saavedra,C1430ADE
202002,-58.378907,-34.6197,32447888/2015,"CALVO, CARLOS",911,14,073,023a,,Normal,Obra finalizada con AVO 4,2019-10-23,Obra finalizada,REMORINO RICARDO GUSTAVO,632.56,2017-10-07,MODIFICACION Y/O AMPLIACION,OTROS,Comuna 1,1102,Constitucion,C1102AAS
202002,-58.427339,-34.581119,,GODOY CRUZ,2471,19,145,010,2019-05-14,Normal,En AVO 2,2020-01-17,En AVO 2,FISCH RICARDO ALBERTO,1419.00,2020-01-20,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 14,1425,Palermo,C1425FQE
